"(-1.4679463574752267, 53.82808727137348)"
"(-1.4677834942079968, 53.82791686289622)"
"(-1.4676763473216612, 53.82773635613883)"
"(-1.4676527750066675, 53.82768460245315)"
"(-1.467603487438953, 53.827583619651804)"
"(-1.4547903906047117, 53.82727183525268)"
"(-1.4549082521796808, 53.82725163869241)"
"(-1.4550261137546499, 53.82723270441716)"
"(-1.4531616792380386, 53.82766188132285)"
"(-1.5853969241877184, 53.84246485815663)"
"(-1.5854012100631718, 53.842445923881385)"
"(-1.5813016128032282, 53.84265925004921)"
"(-1.581192322979166, 53.84264284034399)"
"(-1.580930884576507, 53.84421439856003)"
"(-1.5840146506596169, 53.84562943343399)"
"(-1.5897215299089666, 53.846246704177396)"
"(-1.5834724874147592, 53.84689299410595)"
"(-1.5818480619235396, 53.84663801253258)"
"(-1.5789485884849268, 53.84677433931438)"
"(-1.5868542005362545, 53.848247439299115)"
"(-1.5869420609830498, 53.84784981951885)"
"(-1.584820473939233, 53.84753677283471)"
"(-1.530141214399763, 53.82884213118372)"
"(-1.52851893184627, 53.829063031061644)"
"(-1.5283174956999592, 53.82853539592466)"
"(-1.5198204328360592, 53.82910973560726)"
"(-1.5167365880585766, 53.828844655753755)"
"(-1.5210783372816385, 53.830120839275885)"
"(-1.5211661977284336, 53.83011831470585)"
"(-1.5170344564025895, 53.83017259296157)"
"(-1.5163658598318557, 53.82988605426277)"
"(-1.5309212437322857, 53.831755511742756)"
"(-1.5190060378055363, 53.83137303938269)"
"(-1.5267123566482799, 53.83315792376655)"
"(-1.526245196223857, 53.83234879907084)"
"(-1.5200154401691899, 53.833107432365885)"
"(-1.5200690136123578, 53.832661845754984)"
"(-1.5211961988566076, 53.83234122536074)"
"(-1.5180267152644293, 53.83249143727773)"
"(-1.5193081920250024, 53.83237404477118)"
"(-1.5166272982345144, 53.832914302758326)"
"(-1.5308762420400248, 53.83395822583738)"
"(-1.5298712042461975, 53.83395822583738)"
"(-1.5308269544723105, 53.83391657043183)"
"(-1.5296547675357997, 53.83386734131618)"
"(-1.5301669296524836, 53.83368683455879)"
"(-1.5301133562093159, 53.83364770372327)"
"(-1.529896919498918, 53.83354545863692)"
"(-1.5291982431056375, 53.8344505169939)"
"(-1.528814657252556, 53.83424097768112)"
"(-1.5281717759345428, 53.83406930691885)"
"(-1.5277539030778342, 53.833742375099526)"
"(-1.527674614381946, 53.83371208025912)"
"(-1.5292261012960846, 53.83369062141384)"
"(-1.5289175182634382, 53.83358458947244)"
"(-1.5256730318508251, 53.83405163492861)"
"(-1.527125943629535, 53.83378655507511)"
"(-1.5260716182679934, 53.833535360356784)"
"(-1.5263887730515466, 53.833518950651566)"
"(-1.5187681717178714, 53.83446187755904)"
"(-1.528154632432729, 53.83556134117883)"
"(-1.5282767798831518, 53.83549570235797)"
"(-1.5283389250772264, 53.83545909609248)"
"(-1.5287396544321212, 53.83522557336439)"
"(-1.5269287933586777, 53.83513847569824)"
"(-1.5264123453665404, 53.83511070542787)"
"(-1.5261359063997948, 53.8350980825777)"
"(-1.5208168988789799, 53.83498700149623)"
"(-1.5182131508466532, 53.835379572136425)"
"(-1.519282476772282, 53.83521799965429)"
"(-1.5171073162852975, 53.83560173429937)"
"(-1.5171008874721175, 53.83556765260392)"
"(-1.5244129057731464, 53.83691831094203)"
"(-1.5201697316855132, 53.83662798538819)"
"(-1.5186181660770015, 53.83677314816511)"
"(-1.5186781683333495, 53.83670372248919)"
"(-1.5311805391972177, 53.83798747972142)"
"(-1.5311762533217643, 53.8375330571154)"
"(-1.5288510871939103, 53.8379710700162)"
"(-1.5282039200004436, 53.837469942864566)"
"(-1.528274636945425, 53.83732982922771)"
"(-1.5270616554977339, 53.83822731387459)"
"(-1.5257801787371608, 53.837693367312525)"
"(-1.5237143080742386, 53.83812885564329)"
"(-1.5248479221316686, 53.83766054790209)"
"(-1.5247579187471467, 53.83765928561707)"
"(-1.524185754374115, 53.837544417680554)"
"(-1.5237293086383257, 53.83730205895734)"
"(-1.5229363429850697, 53.838237412154726)"
"(-1.5232706412704367, 53.83798874200643)"
"(-1.5224713254983735, 53.83783726780443)"
"(-1.5232470689554427, 53.83740051718865)"
"(-1.516348716330042, 53.837663072472125)"
"panel_lon_lat"
"(-1.4969264847691317, 53.8544339650172)"
"(-1.4845591189820464, 53.85454883295372)"
"(-1.4977129429148346, 53.85565082114354)"
"(-1.489213737113208, 53.8554135115604)"
"(-1.485667017786756, 53.85548041266628)"
"(-1.4986644859598672, 53.85706964287255)"
"(-1.499465944669657, 53.857800519267464)"
"(-1.667774755566147, 53.78280736421059)"
"(-1.663790876943446, 53.78359251886122)"
"(-1.6592411840665202, 53.78404946603727)"
"(-1.6597877118812043, 53.78516155250722)"
"(-1.6650359237626648, 53.786090607649754)"
"(-1.6626486124407363, 53.786322868092824)"
"(-1.6678990459542964, 53.78766847729087)"
"(-1.6586925920084823, 53.78770003441629)"
"(-1.6590483196711163, 53.78758642876479)"
"(-1.6838538468846418, 53.7801994566256)"
"(-1.6769146997480606, 53.78669902902781)"
"panel_lon_lat"
"(-1.625396430744235, 53.78874900663543)"
"(-1.6229726894809522, 53.78880202260613)"
"(-1.6228826860964305, 53.78880202260613)"
"(-1.6188495199060149, 53.79046320305835)"
"(-1.6171286622170933, 53.789804290279626)"
"(-1.6167065034849313, 53.78974622516886)"
"(-1.6217832803482548, 53.791344291370244)"
"(-1.6249464138216259, 53.7923276247685)"
"(-1.6250064160779738, 53.79232636248348)"
"(-1.6216225600187515, 53.79284768619538)"
"(-1.6191645317518413, 53.79255736064154)"
"(-1.6138476671687532, 53.79251444295097)"
"(-1.6139998157473496, 53.794202131388545)"
"(-1.613819808978306, 53.79408600116701)"
"(-1.6133290762388892, 53.79408095202694)"
"(-1.6137619496596847, 53.794067066891756)"
"(-1.6110831988069234, 53.794236213084)"
"(-1.6110574835542029, 53.794083476596974)"
"(-1.6110381971146623, 53.79403424748132)"
"(-1.6110081959864884, 53.79377042991283)"
"(-1.6229298307264182, 53.79548336405074)"
"(-1.6228355414664428, 53.79540888923475)"
"(-1.62270696520284, 53.79531800471355)"
